2022-05-22 15:48:02,427 | WARNING | nextcord.client |  PyNaCl is not installed, voice will NOT be supported
2022-05-22 15:48:02,437 | DEBUG | nextcord.client |  on_ready has successfully been registered as an event
2022-05-22 15:48:02,437 | INFO | nextcord.client |  logging in using static token
2022-05-22 15:48:02,729 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/users/@me with None has returned 200
2022-05-22 15:48:02,729 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/users/@me has received {'id': '641724526677458944', 'username': 'ONUW Bot', 'avatar': 'f8176d25265dfa406eb501eefc96650d', 'avatar_decoration': None, 'discriminator': '8737', 'public_flags': 0, 'flags': 0, 'bot': True, 'banner': None, 'banner_color': None, 'accent_color': None, 'bio': '', 'pronouns': '', 'locale': 'en-US', 'mfa_enabled': True, 'email': None, 'verified': True}
2022-05-22 15:48:02,760 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/gateway with None has returned 200
2022-05-22 15:48:02,760 | DEBUG | nextcord.http |  GET https://discord.com/api/v9/gateway has received {'url': 'wss://gateway.discord.gg'}
2022-05-22 15:48:02,941 | DEBUG | nextcord.gateway |  Created websocket connected to wss://gateway.discord.gg?encoding=json&v=9&compress=zlib-stream
2022-05-22 15:48:02,941 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 10, 'd': {'heartbeat_interval': 41250, '_trace': ['["gateway-prd-main-rs16",{"micros":0.0}]']}}
2022-05-22 15:48:02,942 | INFO | nextcord.gateway |  Shard ID None has sent the IDENTIFY payload.
2022-05-22 15:48:03,050 | DEBUG | nextcord.gateway |  For Shard ID None: WebSocket Event: {'t': None, 's': None, 'op': 11, 'd': None}
